str1,str2,date1,int1,float1,date2,str5,str6,str3,int2,float2,str4
HHHG16IPt0g,1OBTjTko,1979-02-10,-26,-2.966,2011-10-08,,,367ocPDS,14,0.711,HHH
BBBh92hFBVA,1oDxhNWK,1996-01-02,-82,-3.756,1999-08-11,,,sFYNChIW,-74,5.551,BBB
DDDDUwWxSDqt,1oF0la4r,1983-10-04,-61,-9.58,2006-10-29,,,0Nl7vcD0,86,-1.469,DDD
BBBbTESpsBH,1oJ4nr9Z,2016-12-02,51,0.137,1991-11-21,,,SDe9YNWX,93,8.402,BBB
HHHv82N6nAw,1okzcjER,1959-12-01,63,8.744,1976-05-01,,,u8rZrPhr,86,2.037,HHH
AAAS6fCqaqt,1OLaI5jc,1965-08-30,7,-0.455,1977-08-31,,,zvP06GnG,-91,5.602,AAA
BBBozKuWVgm,1OLnTOVV,1965-07-13,-36,8.555,2016-04-01,,,7encM3ZR,-41,-3.677,BBB
BBB8i6qaMxl,1onI3tOO,1960-02-04,34,-7.569,1963-12-09,,,bxuGWWJC,16,-2.787,BBB
DDDD33b6qOIG,1OOhNzXz,1960-07-21,71,7.438,2001-09-23,,,Ut0uvAZ8,-86,8.884,DDD
KKF3FPnv10,1ORh3Npr,1962-10-22,10,5.29,1996-07-31,,,igRGt0xm,-52,-7.591,KKF
BBBgUN77KVW,1otmKr1p,1971-01-08,55,-5.185,1987-04-01,,,7FD7Lbtq,12,7.813,BBB
EEEhNQhKPwP,1P3LnKeF,1961-05-07,41,-0.474,2013-11-23,,,u5v2HN74,-49,3.95,EEE
KK00ovD5Ow,1P4FsIp8,1975-06-29,-28,-3.833,2001-04-24,,,7fwKDiMA,-65,2.188,KK0
FF4BrYkxS1,1p4uFF5b,1970-08-09,-49,-7.455,1993-11-20,,,Z4vTLnbD,96,-5.652,FF4
FFmft2Wbm3,1P4UHJsR,1974-08-04,-22,9.486,1951-09-14,,,Y73VhwJx,61,5.271,FFm
CC50KLSMwa,1p6gDLjY,1996-08-21,-44,7.484,2001-07-13,,,CHROjWGk,41,-4.02,CC5
HHHazrgb7S6,1p8OHMn7,1989-05-16,24,-5.153,1966-05-20,,,NXD0ubxM,3,-2.195,HHH
BBB6iMfbORw,1pcafXft,1988-09-12,74,-8.831,1979-12-29,,,vIcykP61,70,-5.068,BBB
BBBnBBsGLkE,1pCSmxWB,1982-05-08,3,-8.603,2012-02-27,,,ozu5HRWM,9,-3.996,BBB
EEEzaIFi4kA,1pDiiEOJ,2011-05-21,-48,-7.429,1992-03-25,,,rzDzqDzI,-21,-9.167,EEE
DDDDD18Tlr1q,1PDkcRiK,2010-02-20,72,-8.588,2010-02-27,,,vS9DqeTP,-87,3.285,DDD
EEEtGlm4fCN,1pE0PYa5,1958-12-02,-8,-0.209,1956-12-08,,,e8yGehgC,37,-1.141,EEE
CCgKuHHKvN,1pEtjSk0,1997-09-27,50,-0.454,2008-02-13,,,eUfjWk5W,-82,-4.456,CCg
HHHjJEvXzhs,1pfP7Mhj,2010-05-24,-1,-6.358,1976-07-14,,,ZJlu2wLl,-86,-0.638,HHH
AAAvyqx3sjY,1PfzHHSb,1962-03-22,59,2.356,1997-02-18,,,5QxZ1tOE,-24,-1.365,AAA
BBB2v1jIelf,1phm821I,1958-11-23,11,-3.831,1972-03-25,,,1fcmGi9D,-30,-9.576,BBB
GGFKCqZHmf,1PyFDtbl,1986-05-22,-64,4.261,1972-05-27,,,LBp7NQbU,33,-2.059,GGF
GGMiKmAIPy,1PIgm9Dg,1973-12-20,25,6.412,1985-05-25,,,VTFSREZi,-94,-2.225,GGM
FFU2SfttKO,1pIKGB8a,1959-02-25,89,-3.855,2006-11-18,,,iWlg1lu7,-9,5.739,FFU
AAAWaUhk0oL,1pypUoHg,1979-05-31,98,9.392,1988-12-04,,,0AFUTpmW,10,-9.897,AAA
DDDD0LsFG1RK,1PYuZ4TP,1976-10-27,-52,-3.087,1994-03-21,,,17JaMR8Z,-1,0.578,DDD
KKE1CNV3IF,1pJ7sqBw,2014-06-02,44,-1.375,2007-06-18,,,LB8kZwFy,-85,8.61,KKE
EEEjXUwgJhk,1PKDTPzC,1976-10-18,-33,9.561,1961-02-04,,,eWgilYAQ,38,-6.765,EEE
DDDDSQZY2pL6,1pkWCv7L,1956-01-14,15,5.052,1977-05-04,,,YRHOkEax,-68,5.017,DDD
LLLRw9xOr9E,1pl01yDl,1985-07-04,42,2.304,2010-10-26,,,QCONnlcq,28,-5.16,LLL
GGppwuQEL8,1Plck1lN,2013-07-17,-1,9.105,1953-12-29,,,EnG0ONgG,-35,-2.409,GGp
CCaUIo1wSc,1pN1Eg7h,1977-01-25,-65,2.628,1971-02-16,,,OjFP9gqu,-1,5.418,CCa
HHHEfcgjJW5,1pq4R5IG,1968-12-21,-12,4.933,2016-07-07,,,z28FXBwJ,-38,-2.147,HHH
DDDDk0UGqWhJ,1PsFg4wP,2000-10-19,21,9.853,1993-06-26,,,QQBQKi1j,37,3.298,DDD
CCyGOpV9L6,1PtK5EpE,1982-12-05,-40,-7.262,1989-09-15,,,vECtHutr,-99,3.405,CCy
BBBzPBCUOGO,1puAJDtx,1997-01-12,88,8.271,1952-07-08,,,mUN8Ukjk,-66,4.859,BBB
AAAa0BWIG3F,1PuuNbOs,1990-01-15,-90,-1.994,1976-07-03,,,yM90w9yz,-73,-2.144,AAA
HHHGG6FoorU,1pwBAIWc,1969-03-08,33,-9.808,1982-11-01,,,5EQO98Xs,40,5.78,HHH
HHHH6UTpcFG,1pXpohEk,1976-12-15,15,3.686,2010-04-05,,,HT0j5yFE,-93,-0.501,HHH
CCJPM4wqyq,1Q289Ipg,1986-12-31,15,-7.427,1988-02-15,,,UIVjOpMT,1,-6.845,CCJ
CCvzozJmkT,1q2UtwKy,1953-05-28,-35,6.226,1957-11-26,,,DLxwxXCP,-93,6.635,CCv
EEEoZTkYDra,1Q3wAwhk,1981-10-04,-41,-6.787,2004-04-22,,,bmGz0crN,49,-8.548,EEE
HHHKqfbAuCF,1Q66urRQ,1974-02-25,-10,-3.217,1979-06-16,,,0ErTLo3a,45,-6.013,HHH
EEElAnIP24t,1Q8Acv0P,1988-11-15,-90,6.868,2006-09-06,,,XZDanKG5,-16,-4.849,EEE
AAAjoALVzmm,1QA6GAES,2017-03-27,17,8.43,2015-07-22,,,XowYEE7U,39,-7.037,AAA
DDDD7uaF535O,1QbPKPmQ,1953-11-23,-2,9.038,1966-01-02,,,7nc76AWy,-13,-3.724,DDD
DDDDMnrbsPbb,1qCcTJZ5,2000-10-25,12,-9.674,2011-10-03,,,yvEVbW94,-62,-3.872,DDD
BBBB7meftyl,1Qeqc2Ps,2005-10-15,100,-9.291,2009-10-04,,,CMw9qzAK,-76,-4.537,BBB
AAAiVIuiX5B,1QEzPBbs,2000-11-24,17,7.013,1988-08-22,,,gIJH0Oe5,-60,3.873,AAA
BBBU9aC74cQ,1qiaj0tc,1956-08-03,49,-6.637,1981-07-01,,,YrkaC8Pa,-10,-6.436,BBB
HHHgxwQiJb8,1qyAQWck,1995-10-03,-3,9.638,1984-02-22,,,Bk8t17qW,8,2.598,HHH
DDDDwSt3TZDu,1Qic3zbp,1989-09-05,-55,-5.925,1993-03-03,,,jbYgsk2I,73,8.814,DDD
HHHX5DeqZQu,1qyNLChr,1980-03-02,-55,7.858,1991-11-22,,,cR0zeaK7,46,4.347,HHH
GGWnTEXBI7,1QKIgSNk,1979-01-02,-33,6.471,1982-06-21,,,FjS0Ec9t,-99,-2.703,GGW
FF1cl9TYCh,1QKNmBhz,2012-06-20,81,-5.515,2007-07-17,,,2Q529t40,12,5.91,FF1
GGkzoc4ZMU,1qKtsBSJ,2009-08-01,34,0.369,2008-09-17,,,gVEDU2Fo,15,-9.65,GGk
DDDDAKtOXRri,1qKWIylT,1987-11-25,-70,8.014,1984-04-03,,,HjNHs3Xu,58,6.307,DDD
EEELPHUcaeI,1qlT1gmk,1974-12-21,-67,-5.202,1966-07-21,,,v6xJhcsz,-77,9.901,EEE
LLLnIyLScwr,1qMgWmMm,1995-03-03,-82,8.503,1971-02-17,,,fmuE6POG,-3,-0.735,LLL
FF4PE8RQ7N,1qot0ahw,1984-08-06,9,1.216,1968-08-01,,,iXH7zsiD,14,-8.543,FF4
DDDDArIbBwOl,1QPfVlO3,2000-11-19,62,4.148,1951-11-17,,,6Fz8egph,-23,-8.871,DDD
FFBUPEBulL,1qpu4c2J,2016-12-23,44,-2.223,1966-09-09,,,KcJsIJ2w,69,-4.915,FFB
EEEuily1fnE,1QQGOxlD,1971-01-05,-52,6.621,2016-08-09,,,Ks5ynJfy,-75,2.904,EEE
CCiPPekayZ,1QS2KVsU,1975-06-15,-32,-0.669,1957-01-21,,,HeSZW9CL,-45,2.127,CCi
CC7HZDyKya,1QSWOuY8,1958-02-22,32,1.63,1973-03-06,,,URX2UU14,-97,-3.482,CC7
FF1bGrA6tG,1qthKkyJ,2012-02-09,-99,7.886,2013-10-14,,,VkiwnV5K,-11,-8.975,FF1
LLLH90X6Uvr,1qtSo7Zw,1998-12-05,-32,1.548,2004-07-11,,,0xBgyrKO,-4,7.535,LLL
FFVCZkDG1f,1QzlQO6W,1986-08-29,-82,-2.372,1998-09-06,,,Y02y37OM,-80,-7.005,FFV
CC0FCDCHmO,1QzXL4gy,1975-08-27,26,-9.603,1990-06-06,,,GGSUgexu,-23,6.044,CC0
HHHrkxsWlrO,1R1GNT6q,2002-03-17,-39,-7.594,1955-04-28,,,8miIRCTG,73,4.916,HHH
AAAxPGDbLhY,1r1qiI5S,1970-02-11,25,2.741,2001-07-13,,,uH7XDHkc,-84,-3.234,AAA
CCpnmfCRCv,1r1X6bRp,1979-11-13,-71,-7.967,1974-04-26,,,1uNqkAL6,-39,0.976,CCp
DDDDb6olBFPB,1R3LFIps,2003-09-18,98,-6.95,1989-03-17,,,LpG3eGzR,-3,8.852,DDD
AAAvlBMstoK,1r67116Y,1981-06-17,-56,-1.164,1971-05-25,,,m0laSPjX,12,9.452,AAA
BBBDTbVlFoQ,1r69uOWA,1991-12-19,-60,-1.501,2003-01-08,,,qbS57e3b,-72,3.52,BBB
AAAmoFGPDin,1R6b5i1I,1975-08-08,-79,-4.226,1963-08-16,,,NrV8f7NM,-38,4.026,AAA
FFpPeGGqGK,1r9GGcKv,1992-10-21,42,-0.999,1954-02-05,,,XIpZPJQm,61,4.017,FFp
FFIPHZuHNJ,1rBFqWJw,1999-09-22,66,8.287,1980-12-30,,,Q0RnH3zc,-6,7.262,FFI
CCQvVjF8xw,1rbKwFNw,1975-12-08,18,0.373,1997-05-04,,,M6RptK4I,67,-8.532,CCQ
DDDDGvjVAEsA,1rF20pLD,1980-11-18,92,4.16,2009-11-06,,,uvDpRI12,-57,-9.809,DDD
BBBPhGgTg5y,1rGKhGFQ,2016-08-17,-44,5.43,1968-02-12,,,tuHikN1V,30,1.538,BBB
EEESGlFTpGA,1RGwhVkT,1990-08-16,48,3.818,1956-02-12,,,gYSOS1mX,24,4.956,EEE
GGu5g7P31G,1RJEAoN5,1988-03-22,72,-7.158,1954-03-08,,,tfbrHUEL,-11,-5.318,GGu
EEEAnohyeJ3,1RJyQVYP,1986-01-16,72,-1.075,1975-05-12,,,uQB04ILx,-52,-1.369,EEE
FFK7Z4GcAs,1RjtcMsS,2003-05-07,-12,7.256,1996-05-01,,,l53J6ORI,54,-7.125,FFK
LLLkKSvuiWO,1rMATnht,1988-11-30,-26,-7.301,1978-02-11,,,fXWLb7MM,22,-6.801,LLL
CCjisJXDtv,1rmGwiET,1958-04-06,-62,-2.748,2015-10-26,,,DUGXPzH4,1,5.235,CCj
EEEbza6F9gM,1RMtw6C8,1963-09-26,18,3.75,1980-10-23,,,t29PE9k7,-66,-8.897,EEE
HHHHyU8HhUl,1rnr9atA,1954-12-25,-22,4.715,2006-09-09,,,Fbmo9TAx,83,8.081,HHH
EEE53wJZFgO,1ROFyypm,1960-10-29,-70,0.822,1981-01-11,,,YmvmrP7z,-67,-4.757,EEE
BBBSDSImbHF,1Rogio4m,1971-08-19,-13,-6.449,2003-12-12,,,q3R6fUhG,31,-2.574,BBB
CC40RbMBY5,1roHBWDB,1973-05-11,-77,1.091,1995-07-04,,,z4HCBnTw,-16,-1.031,CC4
AAALPcKkYtU,1rSVRzgV,1977-02-23,-41,-6.867,1960-07-21,,,Rx4WiWQw,-3,-6.755,AAA
CC3clxcmH9,1rTYvSim,1989-02-06,75,-8.777,1968-09-15,,,hLoAf6C6,-3,-4.948,CC3
KKYy5Bftea,1ruyfbz2,2005-06-11,-69,-3.848,1969-11-15,,,ghKUQSq3,55,-1.974,KKY
GGKXzIIrw4,1rUtlpzO,1951-11-16,-62,0.349,1991-06-26,,,9j4KbkIo,-97,3.868,GGK
FFR7yAN7Hb,1RVXTDQR,2015-05-02,-22,2.757,1956-09-26,,,ii6ZIkUV,-67,-1.503,FFR
KKqvAKD81W,1RWpIN1Y,2003-06-24,-96,-9.445,2010-06-27,,,qntg1VrQ,-18,-8.086,KKq
DDDD5gjVsfL1,1rXFGlBF,1964-08-17,46,-7.094,2007-08-02,,,DfnS9lrE,-25,-0.078,DDD
BBBJYrDjRoh,1rxToafF,1977-08-08,-87,8.717,1979-02-06,,,xqWXZTVs,92,6.644,BBB
KKLJBxywiP,1rxumX8e,1962-12-25,11,3.3,1963-05-02,,,ob9jPCsi,97,7.993,KKL
EEEVwykWawc,1s2sRja3,2016-01-02,-20,-0.922,2016-05-26,,,pQlqYhtH,-34,0.544,EEE
EEE4TNk4fpW,1S3lrNmz,2009-04-07,76,-3.399,2015-03-22,,,tCIjWecf,87,-6.394,EEE
BBBF4UWstYx,1S6tGFFj,1972-05-10,23,-7.287,2016-12-16,,,cmPznIHP,-75,-9.853,BBB
CCVmJT7QEn,1sacGzFk,1975-12-24,-8,-3.903,1957-05-18,,,mAOlKG18,-92,7.721,CCV
KKEcFYOT41,1SAM7rVt,1957-09-07,-84,9.613,2010-07-21,,,yl3Kqww5,43,-4.764,KKE
AAATA7sNA2t,1SCojECc,1987-06-25,16,-6.043,1987-09-23,,,9PMaqa0w,-60,-9.637,AAA
GGqst5i0Wz,1seB45tU,1999-06-24,72,-2.797,1951-11-03,,,mj3eSLjT,-57,-0.225,GGq
GGOu5KGDg3,1SEWWEoO,1952-09-14,-73,3.178,1984-03-07,,,64JgBD6V,-59,5.86,GGO
FFScJIzjUM,1sfZ1xvE,1961-02-24,96,0.881,1991-10-22,,,bzlO0L8w,-56,1.149,FFS
CCk3c5TD5F,1sGa55K4,1979-11-19,-12,-2.332,1975-04-15,,,DisNb6eC,-89,4.224,CCk
FFI5pphSe8,1shcAbnh,1963-06-09,-4,-0.623,2012-01-31,,,ogXKCwJ6,95,9.042,FFI
LLLwR0QGWHw,1SHPyYjG,1968-04-22,68,-6.7,1980-10-12,,,TY3ZBpE6,99,5.601,LLL
EEExFaoeslJ,1sYk6BZR,2005-09-09,-91,4.873,1953-04-15,,,b0Y1Q3h4,39,4.337,EEE
KKcmpal2Lx,1SJH5xt1,1972-12-08,-91,3.138,1954-06-04,,,zJv73jIX,-78,-6.599,KKc
KKfc0cZxcz,1skIReir,1956-05-03,42,6.648,2016-08-10,,,ugwnt49G,-35,-6.827,KKf
KKMzseg8mK,1Sr4jFHP,1965-03-26,-27,8.898,1971-09-07,,,I93AleCn,-42,7.222,KKM
FFiKgovngJ,1ST8RG5e,1963-11-24,-13,-6.719,1957-07-21,,,OeNaNzkp,2,-8.247,FFi
HHH060uLJy0,1stA9ZUD,1981-09-17,49,-4.411,2004-04-04,,,fIbxUEEp,69,3.459,HHH
KKOTC1Jmls,1Su1FgP5,1976-09-24,-8,6.473,1988-02-28,,,RREl1uUE,-28,2.685,KKO
FFT39KAPeN,1swmvvfk,1952-11-22,-27,0.403,2001-04-28,,,xtqf4ozT,-97,-5.163,FFT
HHHBP0lBTQr,1swSNgNb,1951-05-26,65,4.339,2012-08-29,,,FwVN2m5j,92,4.706,HHH
GGHHEM2vcP,1sZXDQku,1991-02-03,-11,-8.361,2000-10-20,,,EnZRaFiK,-20,-0.603,GGH
FF7r6NGTuJ,1T3OI2UU,2011-12-18,-100,-9.447,1984-10-04,,,PN5ZBOvO,99,-8.408,FF7
EEESecs2BKp,1t5BGfLK,1964-03-27,10,7.797,2007-04-17,,,z0FqBNPh,66,-4.956,EEE
GG7vaFLW94,1t6HNbA4,1995-12-31,-14,-9.623,1988-11-10,,,q1XHeoO4,83,6.11,GG7
AAAxnekaBUP,1TaC9TVT,1982-12-31,-99,-1.894,1975-06-30,,,IQkW5h5E,-19,-4.525,AAA
FFSyMePTHn,1taGfheg,2006-06-16,-38,8.78,1967-03-14,,,9fxBtSZL,-70,5.131,FFS
GG9H43CWVV,1tBln3UJ,1952-06-02,37,-9.849,1980-05-05,,,82gPB1Bt,-42,3.224,GG9
KKUqQCj8bt,1TClP2ZU,1979-03-07,-44,-2.96,2009-02-04,,,YSKKzE6y,-86,2.973,KKU
KKLZIwv8FS,1TEhBNJQ,1955-05-13,89,-7.301,1963-11-23,,,pxLNuvW3,22,-7.939,KKL
KKZRF6m2wr,1TEOePSu,1998-01-31,-66,-0.711,1951-06-19,,,BgJT8jSN,96,-9.191,KKZ
HHHQkRWLHah,1TY451zB,2000-08-23,12,4.045,1952-10-28,,,YtzZeQRz,-88,-3.839,HHH
LLLeOArIUPx,1tk7ij1k,2014-10-11,-96,8.548,1956-05-13,,,HYb6tyE8,2,-1.597,LLL
AAAMYzUVGEQ,1tLboQjF,1966-10-14,-34,5.771,1972-08-29,,,nhuvY0p5,44,-6.538,AAA
HHHDXgtaExc,1TlzgU4I,1989-12-24,-16,-0.181,1957-09-28,,,RA2UAngn,-80,0.042,HHH
LLL4Fvcqntu,1TmJ9KiT,2000-10-29,-56,-3.398,1992-08-24,,,5ijOCCDu,74,-1.036,LLL
HHH38XTE79M,1TnUE0hE,1951-01-19,-14,-0.009,1969-06-05,,,H3HpD9wv,86,-0.327,HHH
FFeRr3Wk6U,1tnVLDKT,1973-12-25,17,7.939,1956-09-17,,,U3q3K9i7,-10,-1.387,FFe
HHHv25oiQZX,1TPNFt42,1954-07-20,50,4.09,1998-11-19,,,GTZYSNYS,85,3.24,HHH
DDDDacGcYk6q,1tq87TMb,2009-02-09,-83,-7.002,1993-11-29,,,2VjpftqG,-79,-8.566,DDD
KKrI0RaUVi,1TsNmmsP,1954-09-07,88,1.016,1979-03-15,,,ri1XiSP0,-47,-8.925,KKr
HHHwbhV3W48,1tUnmrBm,1998-02-03,-1,-6.779,1958-02-25,,,jEvjzthx,-60,7.585,HHH
AAAnJ1KGJhz,1tV61ety,1982-01-21,73,-3.115,1964-12-17,,,RUA7vsEo,98,-1.803,AAA
CCzrhGK4Lv,1TVBItY9,1991-07-02,-70,9.843,2002-06-03,,,aHkkmNHC,76,9.662,CCz
FFjeRMwlBW,1tVn63IA,1966-03-14,86,7.685,1958-03-09,,,Pe456n4E,-61,7.364,FFj
EEEhfVo52Nw,1Tz3Nqo9,2007-06-27,-24,9.574,1994-07-30,,,Pgechg0a,-56,8.345,EEE
GGsAeJegpg,1u0iEJph,1961-05-15,-9,-2.992,1998-12-10,,,Gmw8EBJ8,83,2.933,GGs
AAALegwFKvo,1U6NKkMf,2000-12-03,58,-4.488,1966-09-06,,,nEGvewLj,-87,-2.963,AAA
CCqn7UpNVR,1U6pGxpN,1978-11-21,-57,0.778,2008-01-16,,,kzgfmzxF,47,-2.768,CCq
KK82NFxAR9,1u6ppa4r,1999-02-11,99,-0.404,2016-02-22,,,n2tkhWvP,-20,-8.804,KK8
AAAwOzk7Z9l,1U90pji6,1966-01-24,-6,1.639,1963-06-06,,,IMgBrbZ8,84,7.026,AAA
KKyKSfQZ82,1UaSgQVn,1997-09-11,-37,-9.669,1981-12-24,,,Y6N1nEI2,80,-7.173,KKy
HHH9jVVCR1C,1uB3ZIfm,1995-12-26,-32,7.62,2003-07-09,,,A3L9hEGC,-28,-8.053,HHH
FFREplHSlS,1UBfwJiM,1962-01-19,-99,5.005,2000-12-14,,,QE3ZHxG5,-70,-3.247,FFR
CC1tpLZZsN,1uCnxU8z,1951-11-06,46,-8.116,1954-12-25,,,nNktZwiz,94,-2.373,CC1
KKN2OGAeYc,1UCrwWoH,1985-06-12,72,-1.776,1997-12-13,,,Kbci4QPT,-91,1.309,KKN
DDDDEKLmr4lY,1ucxaSWQ,1953-09-26,-35,-6.32,1970-10-30,,,xikCkmTs,8,-4.712,DDD
GG3cWp44ZY,1uyFfpEP,1980-07-06,-43,4.624,1964-07-28,,,QsvoehbX,78,9.497,GG3
FFiKSle86V,1UiKazJh,1961-09-13,-59,-7.102,1972-06-25,,,uWgm0sS4,-95,-1.461,FFi
BBBUCrB6Ekx,1UJJBBDM,2011-05-08,-45,-8.021,1980-07-27,,,F0EM8t36,-5,7.64,BBB
BBBnoGKFlvS,1UJwUFMc,1965-01-05,-31,-2.165,1984-06-04,,,2eFRGO24,-33,-3.275,BBB
GGKaRJHtDZ,1UkwSZ03,1967-03-19,8,-3.869,1978-12-19,,,Y9aSWpyW,-80,8.053,GGK
EEETA4eJXty,1uliml1C,2010-01-23,-65,0.801,2006-05-01,,,JKiEDwQ6,-75,5.911,EEE
BBB9aHjQThl,1UMXUmH0,1970-12-13,-54,5.505,1953-09-10,,,R80LNhWP,32,5.959,BBB
FFxFvghVrO,1UP1Tppq,1971-11-26,-61,-6.93,1964-02-01,,,Kjyv4DFc,68,9.376,FFx
DDDDpIjOnfpG,1UqElSHv,1980-12-30,65,-3.009,1954-12-05,,,ya53Goe1,47,-5.827,DDD
FFxVTpNxNT,1uqj1XDR,2007-07-27,69,4.336,2006-10-10,,,1q2tz0nt,7,9.392,FFx
HHHIuqwxNl6,1uQOPK42,1975-07-14,83,-7.99,1999-07-30,,,lREke4sT,3,1.177,HHH
LLLclPXSB9D,1URIKrMc,1987-11-07,-80,0.303,1970-11-01,,,qT4PanCu,96,1.208,LLL
DDDDKoZUBfgT,1usewYKs,2013-07-22,32,1.993,1994-08-04,,,6b8m4ULY,51,3.063,DDD
GGnbDNFCvs,1usV0p4D,1978-07-12,-66,-5.489,1951-02-14,,,Ljn5Ihjy,90,6.258,GGn
AAAVYXbK0l7,1utA3xP5,2008-12-16,-60,1.607,1987-01-17,,,ohCBUKfW,93,-9.183,AAA
CCSEjjrea6,1uU2fEm6,1971-11-12,-81,7.575,2016-01-09,,,qFy0zCRU,-71,2.415,CCS
HHH7hDf8Jbk,1uxk1tz4,2011-04-23,93,-6.571,1976-09-19,,,megCevih,-40,6.953,HHH
LLLXGD7UQOD,1uXTCLD5,1991-06-28,-68,3.791,2017-01-22,,,HHIWCNBA,11,5.102,LLL
KKvVzOUE41,1uZE0vqr,1969-04-01,-20,-6.811,1978-10-02,,,W22PAIiV,59,9.704,KKv
AAAIHwsT9AF,1v0B2CV2,1963-08-22,3,7.246,1981-02-08,,,trZy4THG,26,-9.258,AAA
AAAnOO3OS6K,1v0g1eFE,1963-10-23,-58,-2.259,1951-02-07,,,OnROUKFy,-95,-0.208,AAA
HHHB44KuivJ,1v1GxQ9u,2006-03-12,-58,-9.165,1966-02-08,,,Vr6yEZOD,-3,8.879,HHH
BBBGOI9IaZc,1V1SBOi5,1994-05-29,52,-2.253,1974-06-19,,,rflL91s0,85,-5.389,BBB
GGJNPWJOi5,1v395olq,1983-04-08,84,0.887,1953-11-02,,,xkkGD3qE,70,-0.163,GGJ
FFrqI9qQ8o,1V5vcQ3v,1964-11-13,37,-3.153,1982-02-14,,,sKuGFhQW,70,-1.246,FFr
HHHZ1V2zAkt,1v662GVz,2014-02-23,13,-5.561,2004-05-05,,,sOvIYuEm,-35,-4.434,HHH
LLLiHQ8O9vh,1V8V8ImQ,2007-08-28,-58,-5.667,1956-02-15,,,WymgmBOP,79,3.922,LLL
KKjyUADTGP,1VaK0yhs,1993-06-01,-92,3.293,2010-11-07,,,PUAjJQuV,-79,-1.078,KKj
CCYrPoJzEi,1VeMA95B,1961-09-10,-73,2.797,1977-12-28,,,hWE5iA5D,-13,-0.479,CCY
AAACTtO6kfJ,1vEMhtsh,1980-11-06,67,-0.291,1998-02-14,,,ZnI3IIsM,47,-6.926,AAA
AAAtkbeECX1,1VEqXFEm,2013-09-08,-91,-5.168,1964-12-15,,,NA8uwScL,-57,-8.239,AAA
GGILCi16DW,1vfbet54,1966-06-08,-67,3.35,2012-10-19,,,6WBBX3K4,20,0.245,GGI
EEE4jPFoijM,1VfoQiWw,1964-07-15,-69,-4.957,1976-02-05,,,X8CRhys1,-52,-6.45,EEE
CCGDMReycc,1VGSIQ8j,1983-12-01,-11,-8.611,1957-05-21,,,WVvCrM86,35,-9.097,CCG
BBB9GYQHQW1,1VgTvNU8,2014-08-07,71,-7.844,1962-11-27,,,A2BkPqt4,-66,-2.088,BBB
LLLs5qeaw1C,1Vhqn0hZ,2001-02-07,-14,2.543,1975-05-29,,,wcQRLQWs,-57,1.482,LLL
GGCqZJ2TIo,1vinBz2E,1993-10-06,49,-5.178,2016-03-05,,,Rx9TJgtp,-79,8.402,GGC
AAAau92RmiJ,1VJEaQbr,1970-03-08,94,3.879,2008-04-01,,,DFxuLLIJ,-13,5.387,AAA
GGXp6Cq6jo,1VL4G3Xo,1976-06-25,-83,-6.409,1958-10-16,,,LuNiVOYg,-77,-5.736,GGX
FFApZxHLWX,1VLjt5Ke,2013-07-09,-27,6.163,1997-03-20,,,2XYRpzu5,7,5.674,FFA
HHHBLFzmZ4D,1VMBBmrg,2005-04-17,-74,2.749,1982-01-01,,,v4kOO1HO,10,-6.51,HHH
EEEhLMKoqUK,1VmcUM7o,1953-07-21,-67,8.645,1997-06-18,,,1X3okqlr,-74,-9.966,EEE
DDDDo7uRfwYP,1vnIMMLj,1985-05-21,-43,-4.646,1976-05-25,,,EraYVvYp,10,3.777,DDD
FFDN2XpJXf,1vOPVUa5,2010-03-15,39,-0.146,2006-06-27,,,9KWlJ3AZ,-47,4.62,FFD
BBBaSrKFX6k,1vorQWY2,1996-06-28,-47,3.375,2010-04-29,,,Dsf7IHqa,59,-8.17,BBB
BBBEkLQT3eM,1vQnM2M3,1965-11-19,12,-3.769,1971-12-23,,,uCE8aCHS,-82,-4.828,BBB
EEEKaTeSgEZ,1vrvAy5g,1986-08-09,91,6.391,2001-10-28,,,kyLIhRlj,-9,-2.491,EEE
CCV1xD6VJD,1vU7SkUS,2000-05-06,-28,-7.953,1975-09-05,,,bbA0V8tE,-99,-7.98,CCV
LLLDSJhWmHv,1vUezxLl,1964-08-09,-88,5.18,1953-03-30,,,toQZTzy2,-82,1.044,LLL
LLL26Zks7oK,1vvetU0y,1972-01-17,90,-4.732,1973-08-29,,,r3jFJ0f5,-91,-1.703,LLL
GGAARXqOEE,1vvpeWvD,1994-01-07,-28,5.655,1959-10-03,,,fqrAvu6m,-32,-8.564,GGA
FFsQTrr3CA,1W1JYU2H,1961-07-22,46,-3.864,1982-02-25,,,YwBWY1zX,-25,2.073,FFs
BBBYqba7Nfa,1w4Gkvqc,1982-01-23,61,-7.086,1996-02-16,,,XW361G9s,22,3.961,BBB
GGcpszLRCt,1w58imBS,1989-09-14,-20,7.165,2005-04-19,,,tWcsnEob,43,8.444,GGc
LLL79FBl5OS,1wAiLBB8,1960-12-24,87,6.468,1974-03-17,,,hKg1U6ln,46,-7.788,LLL
KKpPYwrVGi,1wCnHsFU,1984-05-30,23,-3.953,2009-05-08,,,emH4w06D,33,0.595,KKp
HHHR9Xp3Fyk,1wcvt97X,1975-04-30,92,-9.469,1987-09-28,,,GvpoKq89,-11,1.668,HHH
HHHuxj45Xue,1wDkJTkW,1995-10-22,92,4.592,2008-12-12,,,XpWqTe8c,75,1.791,HHH
